season,player_id,rec_context_targets,rec_avg_depth_target,rec_deep_targets,rec_short_targets,rec_left_targets,rec_middle_targets,rec_right_targets,rec_redzone_targets,rec_deep_target_rate,rec_short_target_rate,rec_left_target_rate,rec_middle_target_rate,rec_right_target_rate,rec_redzone_target_rate,rec_route_hitch,rec_route_in_break,rec_route_screen,rec_route_out_break,rec_route_vertical,rec_route_other
2023,00-0034383,89,7.6022727272727275,15,32,22,34,32,15,0.16853932584269662,0.3595505617977528,0.24719101123595505,0.38202247191011235,0.3595505617977528,0.16853932584269662,0.12790697674418605,0.32558139534883723,0.05813953488372093,0.36046511627906974,0.12790697674418605,0
2023,00-0034386,53,17.50943396226415,27,10,23,9,21,6,0.5094339622641509,0.18867924528301888,0.4339622641509434,0.16981132075471697,0.39622641509433965,0.11320754716981132,0.22641509433962265,0.2641509433962264,0,0.07547169811320754,0.4339622641509434,0
2023,00-0034407,15,6.266666666666667,2,6,8,2,5,1,0.13333333333333333,0.4,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0,0
2023,00-0034414,6,5.166666666666667,1,4,5,0,1,0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0,0.16666666666666666,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0
2023,00-0034418,38,11.289473684210526,12,5,13,5,20,5,0.3157894736842105,0.13157894736842105,0.34210526315789475,0.13157894736842105,0.5263157894736842,0.13157894736842105,0.15789473684210525,0.21052631578947367,0.05263157894736842,0.13157894736842105,0.4473684210526316,0
2023,00-0034419,33,6.9393939393939394,4,13,14,4,15,2,0.12121212121212122,0.3939393939393939,0.42424242424242425,0.12121212121212122,0.45454545454545453,0.06060606060606061,0.1935483870967742,0.12903225806451613,0.0967741935483871,0.3870967741935484,0.1935483870967742,0
2023,00-0034433,3,-0.3333333333333333,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2023,00-0034487,22,8.636363636363637,6,7,11,6,5,3,0.2727272727272727,0.3181818181818182,0.5,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.4090909090909091,0.22727272727272727,0.13636363636363635,0.09090909090909091,0
2023,00-0034521,49,12.183673469387756,12,3,18,6,25,4,0.24489795918367346,0.061224489795918366,0.3673469387755102,0.12244897959183673,0.5102040816326531,0.08163265306122448,0.2653061224489796,0.3469387755102041,0,0.20408163265306123,0.1836734693877551,0
2023,00-0034575,2,0,0,2,0,1,1,0,0,1,0,0.5,0.5,0,0,0.5,0,0.5,0,0
2023,00-0034613,50,5.38,5,23,22,10,18,3,0.1,0.46,0.44,0.2,0.36,0.06,0.2,0.16,0.06,0.42,0.16,0
2023,00-0034646,44,7.545454545454546,7,16,12,13,19,6,0.1590909090909091,0.36363636363636365,0.2727272727272727,0.29545454545454547,0.4318181818181818,0.13636363636363635,0.2857142857142857,0.3333333333333333,0.023809523809523808,0.23809523809523808,0.11904761904761904,0
2023,00-0034681,17,-1.4705882352941178,0,16,4,2,11,0,0,0.9411764705882353,0.23529411764705882,0.11764705882352941,0.6470588235294118,0,0.17647058823529413,0.23529411764705882,0.4117647058823529,0.17647058823529413,0,0
2023,00-0034750,1,-1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2023,00-0034753,61,7.262295081967213,6,20,16,21,24,14,0.09836065573770492,0.32786885245901637,0.26229508196721313,0.3442622950819672,0.39344262295081966,0.22950819672131148,0.26229508196721313,0.3114754098360656,0.06557377049180328,0.19672131147540983,0.16393442622950818,0
2023,00-0034764,57,10.947368421052632,15,14,27,4,26,6,0.2631578947368421,0.24561403508771928,0.47368421052631576,0.07017543859649122,0.45614035087719296,0.10526315789473684,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.08771929824561403,0.22807017543859648,0
2023,00-0034775,85,9.905882352941177,24,25,39,11,35,6,0.2823529411764706,0.29411764705882354,0.4588235294117647,0.12941176470588237,0.4117647058823529,0.07058823529411765,0.16666666666666666,0.2619047619047619,0.10714285714285714,0.2857142857142857,0.17857142857142858,0
2023,00-0034777,66,15.393939393939394,37,14,24,11,31,6,0.5606060606060606,0.21212121212121213,0.36363636363636365,0.16666666666666666,0.4696969696969697,0.09090909090909091,0.19696969696969696,0.2727272727272727,0.030303030303030304,0.10606060606060606,0.3939393939393939,0
2023,00-0034791,4,0.25,0,3,2,0,2,0,0,0.75,0.5,0,0.5,0,0,0.25,0.5,0.25,0,0
