player_id,position,draft_year_24,talent_prior_fppg_24,rookie_actual_fppg_24,talent_prior_source_24
00-0033556,RB,2017,5.207183603861391,7.477500000000001,chronological_college_combine_ridge
00-0033553,RB,2017,6.453751820119656,1.2,chronological_college_combine_ridge
00-0033893,RB,2017,8.027541600189698,14.975,chronological_college_combine_ridge
00-0033596,RB,2017,1.8567429748870437,0.47692307692307695,chronological_college_combine_ridge
00-0033925,RB,2017,10.94058412412181,6,chronological_college_combine_ridge
00-0033856,RB,2017,12.369427178655567,16.323076923076922,chronological_college_combine_ridge
00-0033950,RB,2017,4.192181124856279,6.761538461538461,chronological_college_combine_ridge
00-0033581,RB,2017,3.276730409535563,3.966666666666667,chronological_college_combine_ridge
00-0033567,RB,2017,3.671002757325199,2.075,chronological_college_combine_ridge
00-0033975,RB,2017,6.217264609965545,0,chronological_college_combine_ridge
00-0033923,RB,2017,6.719228849667923,16.793750000000003,chronological_college_combine_ridge
00-0033293,RB,2017,2.943688656198056,7.550000000000002,chronological_college_combine_ridge
00-0033906,RB,2017,7.493113048407636,16.993750000000002,chronological_college_combine_ridge
00-0033789,RB,2017,3.9827187875961276,0,chronological_college_combine_ridge
00-0033951,RB,2017,9.424717531747056,6.628571428571429,chronological_college_combine_ridge
00-0033304,RB,2017,0,-0.19999999999999996,chronological_college_combine_ridge
00-0033280,RB,2017,15.324981705623415,11.787500000000001,chronological_college_combine_ridge
00-0033295,RB,2017,2.58315094877277,4.513333333333334,chronological_college_combine_ridge
00-0033955,RB,2017,7.867596219227945,0,chronological_college_combine_ridge
00-0033897,RB,2017,10.360926212688035,9.164285714285715,chronological_college_combine_ridge
00-0033797,RB,2017,0,0,chronological_college_combine_ridge
00-0033526,RB,2017,5.009925676176643,7.500000000000001,chronological_college_combine_ridge
00-0033561,RB,2017,4.64482531831001,0,chronological_college_combine_ridge
00-0033967,RB,2017,1.8070661650692625,0,chronological_college_combine_ridge
00-0033948,RB,2017,4.291195480268608,8.686666666666667,chronological_college_combine_ridge
00-0033286,RB,2017,4.9819851847682015,0,chronological_college_combine_ridge
00-0033796,RB,2017,0,0,chronological_college_combine_ridge
00-0033957,WR,2017,2.8575691996755985,0,chronological_college_combine_ridge
00-0033572,WR,2017,2.049554356458722,0.2846153846153846,chronological_college_combine_ridge
00-0033591,WR,2017,0.7069394723884432,0.7571428571428572,chronological_college_combine_ridge
00-0033464,WR,2017,2.811814172242435,0.4666666666666666,chronological_college_combine_ridge
00-0033968,WR,2017,0.10833137003788906,0,chronological_college_combine_ridge
00-0033937,WR,2017,2.67635004346901,1.3875000000000002,chronological_college_combine_ridge
00-0033871,WR,2017,5.748797076377459,4.954545454545454,chronological_college_combine_ridge
00-0033530,WR,2017,1.1986089733076817,0,chronological_college_combine_ridge
00-0033305,WR,2017,0.9456486167265338,0,chronological_college_combine_ridge
00-0033471,WR,2017,2.4234392325878273,0,chronological_college_combine_ridge
00-0033573,WR,2017,2.888207023790459,1.05,chronological_college_combine_ridge
00-0033921,WR,2017,5.67333459695622,5.033333333333333,chronological_college_combine_ridge
00-0033932,WR,2017,4.187321594498462,7.327272727272727,chronological_college_combine_ridge
00-0033840,WR,2017,3.2922511227844407,1.7375,chronological_college_combine_ridge
00-0033919,WR,2017,4.829397347574827,0,chronological_college_combine_ridge
00-0033555,WR,2017,2.514052953415306,3.0500000000000003,chronological_college_combine_ridge
00-0033891,WR,2017,5.886228618755306,4.078571428571428,chronological_college_combine_ridge
00-0033908,WR,2017,4.873463660927588,9.860000000000001,chronological_college_combine_ridge
00-0033552,WR,2017,3.6690324522863347,0,chronological_college_combine_ridge
00-0033859,WR,2017,4.993891315295139,1.7222222222222223,chronological_college_combine_ridge
00-0033466,WR,2017,2.5512559395176706,0.48181818181818187,chronological_college_combine_ridge
00-0033589,WR,2017,0.5217957024673967,0,chronological_college_combine_ridge
00-0033943,WR,2017,3.71584297318768,2.19,chronological_college_combine_ridge
00-0033460,WR,2017,6.738354867203366,-0.2666666666666666,chronological_college_combine_ridge
00-0033282,WR,2017,7.68636527812119,3.175,chronological_college_combine_ridge
00-0033857,WR,2017,5.812578310249048,11.62142857142857,chronological_college_combine_ridge
00-0033916,WR,2017,3.425069228673971,1.1583333333333334,chronological_college_combine_ridge
00-0033562,WR,2017,3.5556529680132667,0.47500000000000003,chronological_college_combine_ridge
00-0033911,WR,2017,4.675559644113122,2.5875000000000004,chronological_college_combine_ridge
00-0033292,WR,2017,2.4458485555055596,5.1,chronological_college_combine_ridge
00-0033839,WR,2017,0.884180823045079,7.628571428571428,chronological_college_combine_ridge
00-0033933,WR,2017,3.730070161814434,1.3166666666666667,chronological_college_combine_ridge
00-0033536,WR,2017,5.968654477769594,1.6666666666666667,chronological_college_combine_ridge
00-0033291,WR,2017,1.8287952561228673,0,chronological_college_combine_ridge
00-0033564,TE,2017,1.5113423090628668,0,chronological_college_combine_ridge
00-0033881,TE,2017,4.888774273630674,9.44,chronological_college_combine_ridge
00-0033895,TE,2017,3.978867659953254,3.2642857142857147,chronological_college_combine_ridge
00-0033966,TE,2017,1.9599452220325109,0,chronological_college_combine_ridge
00-0033879,TE,2017,5.020171025704136,7.092307692307693,chronological_college_combine_ridge
00-0033288,TE,2017,1.5968913100459798,5.666666666666667,chronological_college_combine_ridge
00-0033953,TE,2017,1.7334531356747633,0,chronological_college_combine_ridge
00-0033885,TE,2017,5.374572752717827,4.91875,chronological_college_combine_ridge
00-0033559,TE,2017,2.130198708380355,1.1,chronological_college_combine_ridge
00-0033576,TE,2017,0.8504543097774735,0,chronological_college_combine_ridge
00-0033798,TE,2017,0,0,chronological_college_combine_ridge
00-0033896,TE,2017,3.895023950461446,5.242857142857143,chronological_college_combine_ridge
00-0033858,TE,2017,3.472097707224599,2.6214285714285714,chronological_college_combine_ridge
00-0033528,TE,2017,1.511651580899625,2.766666666666667,chronological_college_combine_ridge
00-0034857,QB,2018,11.610416680533456,17.238333333333333,chronological_college_combine_ridge
00-0034869,QB,2018,11.020860315239092,13.084615384615386,chronological_college_combine_ridge
00-0034423,QB,2018,0.43256633291191826,0,chronological_college_combine_ridge
00-0034412,QB,2018,5.239241464458495,0,chronological_college_combine_ridge
00-0034796,QB,2018,10.490797106075517,10.09625,chronological_college_combine_ridge
00-0034369,QB,2018,4.832526076440326,-2.2,chronological_college_combine_ridge
00-0034416,QB,2018,1.5221334281685623,0,chronological_college_combine_ridge
00-0034855,QB,2018,12.27592952538559,17.15,chronological_college_combine_ridge
00-0034732,QB,2018,0.43082647494616055,0,chronological_college_combine_ridge
00-0034343,QB,2018,9.94885065921933,8.637142857142857,chronological_college_combine_ridge
00-0034771,QB,2018,5.552156522779195,0,chronological_college_combine_ridge
00-0034401,QB,2018,2.1760263110878033,0,chronological_college_combine_ridge
00-0034438,QB,2018,0,0,chronological_college_combine_ridge
00-0034799,RB,2018,5.081960553366908,2.766666666666667,chronological_college_combine_ridge
00-0034844,RB,2018,14.077787176313022,21.14375,chronological_college_combine_ridge
00-0034433,RB,2018,1.1450386849013234,0,chronological_college_combine_ridge
