position,feature,delta_MAE_if_permuted,delta_RMSE_if_permuted,delta_correlation_if_permuted,delta_rank_correlation_if_permuted,target_year
WR,roll5_targets,0.0074209145264291605,-0.005172466493363004,-1.440268198678781e-5,-2.3983922003900648e-4,2025
WR,direct_gap_vs_base_232,0.005468318822481333,0.014357289024709155,0.0018091850022952845,0.0031713910607445253,2025
WR,season_to_date_rec_td_rate,0.00429442207424809,7.956998505530185e-4,1.943071793495769e-4,1.7616241379173983e-4,2025
WR,roll3_ngs_cushion,0.004206258383752104,-0.002719781321957863,-9.75928180206124e-6,2.4630582460553424e-4,2025
WR,roll3_rec_td_rate,0.003533101933344144,0.028667307687384163,0.004674983493855682,0.005514919932275375,2025
WR,roll3_catch_rate,0.0033750549237495284,-0.0037572402263951568,-3.303707152175391e-4,-2.804174214302198e-4,2025
WR,prior_yards_per_target,0.001826063412569005,7.713314069590638e-5,1.0485928518274197e-4,6.911914072501209e-5,2025
WR,is_home,0.0017879219414525711,-0.0013356131723343267,-2.979317878163412e-4,4.5865892388681956e-4,2025
WR,roll3_ngs_separation,4.690757826493197e-4,-7.324748548744134e-4,-4.865331472769796e-5,-2.1224531604246977e-5,2025
WR,matchup_role_interaction,4.552137618348458e-4,-0.00726361646380506,-0.0014647830215713438,9.060804877720022e-4,2025
WR,practice_risk,0,0,0,0,2025
WR,weekly_age,-1.9939601897123183e-4,7.210600847660231e-4,1.0580643101931742e-4,-8.292527856956777e-5,2025
WR,season_to_date_catch_rate,-7.36901543212228e-4,0.001105032948419608,1.1983385632223047e-4,3.499148539426085e-4,2025
WR,opp_pos_residual_roll8,-0.0012166379885210077,-0.0028033283708393717,-5.397178326222996e-4,-4.0663874349115375e-4,2025
WR,roll3_ngs_air_yard_share,-0.002375392771581423,0.0023005656052828747,4.526839778362657e-5,1.083237074756734e-4,2025
WR,tw_draft_capital_log_24,-0.0031946751713727295,0.002990221347445754,1.0516696698389023e-4,2.1540244444029355e-4,2025
WR,prior_catch_rate,-0.004606806340807641,0.0014879246474170198,-3.141398814138219e-4,4.658767597396733e-4,2025
WR,projection_spread_232,-0.005170684480061342,0.012858361803402829,0.001100992789287658,0.0019881053803298965,2025
WR,projected_opportunities_232,-0.006964952510241614,0.007199992089103269,2.0750301035021845e-4,1.632688839087922e-4,2025
TE,role_fppg_trend,0.03312337752603763,0.029435286997210913,0.00778816175766935,0.00828239372949365,2025
TE,roll3_offense_snaps,0.03141242592893878,0.018506235972115686,0.004980943241436127,0.006688007165640923,2025
TE,projected_td_points_232,0.027074362258321976,0.04407373238317991,0.008103658757562951,0.012999342598043029,2025
TE,roll3_target_share,0.02589655491944261,0.013499309056792383,0.0036105506093911575,0.004442985328052503,2025
TE,preseason_prior_fppg,0.02314731277153263,0.006151870352429256,0.0012518776155211835,0.0024634471838695937,2025
