Feature,Gain,Cover,Frequency,position
roll5_fppg,0.04383757048846811,0.03751380819241616,0.03834066624764299,TE
roll3_offense_snaps,0.03407037321526326,0.03929816475075762,0.03331238214959145,TE
season_targets_prior,0.013153184554366698,0.036809146702769226,0.028284098051539912,TE
roll3_fppg,0.011220991308453656,0.01978157846434759,0.02011313639220616,TE
implied_team_total,0.009539641971607863,0.021837819018238842,0.03331238214959145,TE
opp_pos_residual_roll8,0.006279600271470614,0.007164028419110194,0.021370207416719043,TE
season_to_date_ypt,0.006253797618274814,0.03296295990179013,0.026398491514770583,TE
matchup_role_interaction,0.0062110575638028645,0.031026538227447664,0.018856065367693273,TE
roll3_fppg_sd,0.005050675397777027,0.015147331250162616,0.021370207416719043,TE
roll3_rec_td_rate,0.0050303622020563595,0.006495930145210451,0.01571338780641106,TE
def_pass_epa_allowed_roll4,0.004592787977758684,0.01778355381524212,0.016341923318667503,TE
snap_trend,0.0045729099667375225,0.03411262457089756,0.02262727844123193,TE
role_fppg_trend,0.003666356380777456,0.02782334214878876,0.02011313639220616,TE
wr_volume_matchup,0.003596967250044123,0.017237015282763894,0.016341923318667503,TE
team_spread_line,0.0033812998662143406,0.010708833145128833,0.013827781269641735,TE
preseason_redzone_target_rate,0.0032576678202833782,0.009509977296395815,0.013827781269641735,TE
prior_rec_td_rate,0.002773806929890779,0.011917740840318011,0.01257071024512885,TE
roll3_ngs_cushion,0.002749324837162446,0.008135404401545253,0.010685103708359522,TE
preseason_deep_target_rate,0.0026454753362033768,0.013489427009776973,0.011942174732872407,TE
def_pass_success_allowed_roll4,0.002551545843330368,0.01242987272803907,0.01257071024512885,TE
prior_yards_per_carry,0.0024819554037540134,0.010766334030232878,0.008799497171590195,TE
expected_team_plays,0.002470640601566858,0.018146387291025887,0.01257071024512885,TE
roll3_targets,0.0023941536179631164,0.0037826920299561663,0.00502828409805154,TE
season_to_date_rec_td_rate,0.002330050081586329,0.005848266212859395,0.008799497171590195,TE
prior_game_fppg,0.002314170310036601,0.00809121324327197,0.008799497171590195,TE
def_sack_rate_roll4,0.0021173628987728255,0.011304010923435382,0.011313639220615965,TE
rb_receiving_matchup,0.0019863458036125364,0.010448471966757928,0.008170961659333752,TE
opportunity_per_snap,0.0019269440499833093,0.002457787900551715,0.009428032683846637,TE
prior_catch_rate,0.0019005440155895816,0.003093388753759523,0.008170961659333752,TE
def_rush_epa_allowed_roll8,0.0018339179724494435,0.010037949620143224,0.01005656819610308,TE
season_week,0.0017867262945931491,0.014128429482781096,0.010685103708359522,TE
underdog_target_interaction,0.0017637909753620692,0.013824052383518661,0.009428032683846637,TE
team_skill_out_count,0.0016892725400083671,0.016215239366500656,0.010685103708359522,TE
roll3_team_pass_attempts,0.0016371469596124792,0.012312835901813708,0.008170961659333752,TE
def_deep_epa_allowed_roll4,0.0015626791308434224,0.006637252698068102,0.008799497171590195,TE
def_redzone_rush_td_rate_roll4,0.001513703610788933,0.005555285299383197,0.009428032683846637,TE
preseason_middle_target_rate,0.0015051997888618296,0.002201129890975286,0.0069138906348208675,TE
roll3_ngs_yac_oe,0.0014381843783401454,0.008738267682101826,0.0069138906348208675,TE
opp_pos_fppg_allowed_roll4,0.0014253523364669651,0.008855227122476123,0.008799497171590195,TE
def_deep_pass_rate_roll4,0.0012635610898278,0.0026574173345365946,0.00754242614707731,TE
def_rush_success_allowed_roll4,0.0012584001760473052,0.0026867548862727327,0.0056568196103079825,TE
def_rush_epa_allowed_roll4,0.0012417344858344564,0.0026972588963380087,0.0069138906348208675,TE
prior_yards_per_target,0.0012219230456202265,0.0023782406818526176,0.0056568196103079825,TE
def_redzone_pass_td_rate_roll4,0.001184564370838536,0.0014047837555092614,0.00754242614707731,TE
season_to_date_catch_rate,0.0011510561866510253,0.0010562550702837503,0.003771213073538655,TE
def_explosive_pass_rate_roll4,9.630417093799457e-4,0.0033007367868356893,0.0043997485857950975,TE
wr_deep_matchup,9.215941981653512e-4,6.755882329765188e-4,0.0043997485857950975,TE
target_trend,8.751172385407838e-4,0.008014302579705247,0.0056568196103079825,TE
def_middle_pass_rate_roll4,8.515512527083107e-4,5.361384496922744e-4,0.0043997485857950975,TE
favorite_points,8.346801827757575e-4,0.004490383079739435,0.0031426775612822125,TE
rest_days,7.801982831705124e-4,0.009210099448887473,0.00502828409805154,TE
roll3_ngs_separation,7.721086529906094e-4,0.0012963465119276043,0.003771213073538655,TE
roll3_catch_rate,7.411903445844946e-4,7.593091712132436e-4,0.0031426775612822125,TE
def_pass_epa_allowed_roll8,7.296474934819895e-4,0.0016746832196883445,0.0043997485857950975,TE
